"(1, 132455), (2, 132594), (3, 132620), (4, 132716), (5, 132773), (6, 132782), (7, 132782), (8, 133002), (9, 133002), (10, 133040), (11, 133040), (12, 133040), (13, 133040), (14, 133040), (15, 133040), (16, 133040), (17, 133040), (18, 133040), (19, 133040), (20, 133040), (21, 133040)"
"(1, 123371.4), (2, 131009.9), (3, 132092.1), (4, 132515.85), (5, 132611.77), (6, 132686.5), (7, 132740.85), (8, 132778.37), (9, 132799.61), (10, 132856.51), (11, 132960.07), (12, 133012.42), (13, 133029.83), (14, 133040.0), (15, 133040.0), (16, 133040.0), (17, 133040.0), (18, 133040.0), (19, 133040.0), (20, 133040.0), (21, 133040.0)"
"(1, 132220), (2, 132838), (3, 132838), (4, 132838), (5, 132838), (6, 133003), (7, 133003), (8, 133003), (9, 133003), (10, 133003), (11, 133003), (12, 133003), (13, 133003), (14, 133003), (15, 133003), (16, 133003), (17, 133003), (18, 133003), (19, 133003), (20, 133003), (21, 133003)"
"(1, 123185.3), (2, 130926.85), (3, 132093.78), (4, 132636.44), (5, 132829.24), (6, 132844.6), (7, 132859.45), (8, 132922.15), (9, 133001.9), (10, 133003.0), (11, 133003.0), (12, 133003.0), (13, 133003.0), (14, 133003.0), (15, 133003.0), (16, 133003.0), (17, 133003.0), (18, 133003.0), (19, 133003.0), (20, 133003.0), (21, 133003.0)"
"(1, 131616), (2, 132656), (3, 132656), (4, 132656), (5, 132795), (6, 132795), (7, 132795), (8, 132795), (9, 132883), (10, 132883), (11, 132883), (12, 132883), (13, 132883), (14, 132947), (15, 132947), (16, 132947), (17, 133076), (18, 133076), (19, 133406), (20, 133406), (21, 133510)"
"(1, 123321.6), (2, 130920.77), (3, 131870.55), (4, 132357.55), (5, 132646.52), (6, 132670.27), (7, 132703.86), (8, 132768.17), (9, 132796.76), (10, 132801.16), (11, 132819.64), (12, 132867.16), (13, 132883.0), (14, 132884.28), (15, 132890.04), (16, 132908.18), (17, 132949.46), (18, 132987.25), (19, 133078.1), (20, 133174.02), (21, 133320.74)"
"(1, 131756), (2, 132071), (3, 132101), (4, 132452), (5, 132452), (6, 132782), (7, 133062), (8, 133062), (9, 133237), (10, 133294), (11, 133294), (12, 133447), (13, 133447), (14, 133447), (15, 133447), (16, 133447), (17, 133447), (18, 133447), (19, 133447), (20, 133447), (21, 133447)"
"(1, 123468.35), (2, 130650.4), (3, 131446.25), (4, 131949.05), (5, 132141.11), (6, 132278.43), (7, 132491.97), (8, 132723.2), (9, 132969.43), (10, 133093.66), (11, 133180.51), (12, 133285.85), (13, 133305.31), (14, 133333.74), (15, 133421.59), (16, 133447.0), (17, 133447.0), (18, 133447.0), (19, 133447.0), (20, 133447.0), (21, 133447.0)"
"(1, 132241), (2, 132289), (3, 132493), (4, 132586), (5, 132681), (6, 132985), (7, 132985), (8, 133224), (9, 133224), (10, 133412), (11, 133412), (12, 133412), (13, 133412), (14, 133422), (15, 133422), (16, 133422), (17, 133422), (18, 133422), (19, 133422), (20, 133422), (21, 133422)"
"(1, 123170.15), (2, 130769.7), (3, 131884.4), (4, 132304.8), (5, 132432.76), (6, 132555.9), (7, 132698.87), (8, 132967.23), (9, 133071.19), (10, 133179.36), (11, 133244.15), (12, 133316.29), (13, 133408.1), (14, 133412.2), (15, 133412.8), (16, 133415.0), (17, 133420.8), (18, 133422.0), (19, 133422.0), (20, 133422.0), (21, 133422.0)"
