782,"[23, 73, 2, 87, 97, 95, 13, 53, 101, 28, 26, 12, 80, 68, 9, 71, 65, 35, 34, 78, 81, 33, 79, 3, 77, 76, 27, 52, 7, 82, 48, 47, 36, 46, 8, 45, 84, 17, 86, 38, 44, 14, 57, 54, 29, 24, 55, 25, 4, 72, 21, 40, 58, 94, 92, 37, 98, 93, 85, 91, 16, 61, 5, 60, 83, 18, 88, 62, 31, 70, 30, 10, 11, 19, 49, 64, 63, 90, 32, 66, 20, 51, 50, 1, 69, 89, 6, 96, 99, 59, 100, 42, 43, 15, 41, 22, 74, 75, 56, 39, 67]"
769,"[23, 56, 75, 22, 57, 87, 97, 95, 92, 59, 93, 99, 96, 94, 6, 89, 18, 83, 60, 5, 84, 61, 85, 98, 2, 21, 73, 72, 74, 41, 15, 43, 42, 100, 91, 16, 86, 17, 45, 8, 46, 36, 47, 48, 82, 19, 49, 64, 11, 63, 20, 51, 30, 70, 31, 88, 62, 10, 90, 32, 66, 65, 71, 35, 9, 33, 76, 50, 1, 69, 7, 52, 27, 101, 37, 44, 38, 14, 13, 58, 40, 53, 28, 26, 12, 54, 80, 68, 77, 3, 79, 81, 78, 34, 29, 24, 55, 25, 4, 39, 67]"
751,"[71, 35, 9, 33, 50, 76, 12, 28, 26, 40, 21, 72, 73, 2, 13, 95, 59, 5, 84, 83, 60, 18, 6, 94, 58, 53, 101, 27, 69, 52, 89, 96, 99, 93, 44, 38, 14, 42, 43, 15, 41, 22, 23, 67, 25, 24, 29, 79, 81, 51, 20, 66, 32, 90, 63, 10, 30, 70, 1, 31, 88, 7, 62, 19, 11, 64, 49, 36, 47, 48, 82, 8, 46, 45, 17, 86, 16, 61, 85, 91, 100, 98, 37, 92, 97, 87, 57, 74, 75, 56, 39, 4, 55, 54, 80, 68, 77, 3, 78, 34, 65]"
748,"[23, 75, 22, 41, 59, 99, 5, 60, 84, 17, 86, 16, 44, 38, 14, 43, 15, 57, 42, 100, 91, 85, 61, 93, 98, 37, 92, 53, 28, 76, 3, 79, 29, 24, 12, 21, 73, 72, 74, 2, 87, 97, 95, 96, 89, 52, 62, 10, 90, 32, 66, 71, 65, 35, 9, 34, 78, 81, 33, 51, 20, 30, 70, 31, 88, 7, 82, 48, 19, 11, 63, 64, 49, 36, 47, 46, 8, 45, 83, 18, 6, 94, 13, 58, 40, 26, 101, 27, 69, 1, 50, 77, 68, 80, 54, 55, 25, 4, 56, 39, 67]"
763,"[55, 25, 39, 56, 75, 22, 74, 72, 73, 21, 40, 58, 53, 101, 27, 28, 26, 12, 80, 68, 77, 3, 79, 33, 81, 9, 51, 20, 30, 70, 31, 88, 7, 82, 48, 47, 36, 49, 19, 11, 62, 10, 90, 32, 63, 64, 46, 8, 45, 17, 84, 5, 60, 83, 18, 52, 89, 6, 94, 95, 97, 92, 59, 99, 96, 93, 85, 91, 100, 37, 98, 61, 16, 44, 14, 42, 87, 2, 57, 15, 43, 38, 86, 13, 41, 23, 67, 4, 54, 24, 29, 78, 34, 35, 71, 66, 65, 50, 76, 1, 69]"
759,"[66, 20, 51, 33, 77, 68, 80, 54, 55, 25, 24, 29, 34, 78, 79, 3, 50, 1, 69, 28, 101, 53, 21, 4, 72, 73, 74, 22, 75, 56, 39, 67, 23, 41, 57, 15, 43, 14, 100, 61, 17, 45, 8, 46, 47, 19, 11, 62, 88, 31, 52, 89, 2, 87, 42, 37, 98, 99, 96, 94, 6, 27, 70, 30, 10, 32, 90, 63, 64, 49, 36, 48, 82, 7, 18, 83, 60, 5, 84, 16, 86, 38, 44, 91, 85, 93, 59, 92, 97, 95, 13, 58, 40, 26, 12, 76, 81, 9, 35, 71, 65]"
752,"[39, 25, 55, 78, 34, 35, 71, 65, 66, 32, 90, 63, 11, 64, 49, 36, 47, 46, 82, 8, 45, 83, 18, 89, 52, 27, 69, 1, 33, 81, 9, 51, 20, 10, 62, 19, 48, 7, 88, 31, 70, 30, 50, 76, 28, 101, 53, 58, 13, 94, 6, 96, 99, 59, 95, 97, 92, 37, 93, 60, 5, 84, 17, 61, 16, 85, 98, 100, 91, 44, 86, 38, 14, 42, 87, 2, 4, 54, 80, 68, 24, 29, 79, 3, 77, 12, 26, 40, 21, 73, 72, 74, 56, 75, 22, 57, 43, 15, 41, 23, 67]"
779,"[23, 39, 55, 24, 29, 34, 35, 71, 65, 66, 20, 30, 70, 31, 1, 69, 27, 28, 12, 54, 4, 56, 75, 72, 40, 58, 53, 101, 89, 60, 83, 18, 7, 82, 8, 45, 84, 5, 61, 16, 91, 85, 93, 99, 96, 95, 13, 94, 6, 52, 88, 62, 19, 11, 90, 32, 51, 9, 81, 33, 78, 79, 3, 77, 68, 80, 26, 21, 73, 74, 22, 41, 2, 57, 15, 43, 87, 97, 92, 59, 98, 37, 100, 42, 14, 38, 44, 86, 17, 46, 48, 47, 36, 49, 64, 63, 10, 50, 76, 25, 67]"
753,"[55, 54, 12, 80, 68, 24, 29, 77, 76, 50, 10, 62, 11, 90, 32, 63, 64, 49, 36, 47, 46, 8, 45, 83, 18, 88, 31, 70, 30, 51, 9, 81, 33, 3, 79, 78, 34, 35, 65, 71, 66, 20, 1, 69, 27, 28, 101, 89, 52, 7, 19, 48, 82, 84, 17, 61, 85, 93, 99, 5, 60, 6, 94, 96, 59, 37, 98, 92, 97, 95, 13, 58, 53, 26, 40, 21, 72, 75, 22, 74, 73, 2, 87, 100, 91, 16, 86, 44, 38, 14, 42, 43, 15, 57, 41, 56, 4, 25, 39, 23, 67]"
759,"[39, 25, 55, 54, 26, 53, 13, 95, 100, 44, 38, 86, 16, 85, 92, 97, 87, 2, 57, 41, 22, 74, 72, 73, 21, 40, 58, 94, 99, 5, 60, 18, 83, 8, 82, 7, 88, 31, 70, 30, 20, 51, 9, 35, 65, 71, 66, 32, 63, 11, 64, 49, 36, 47, 19, 48, 46, 45, 17, 84, 61, 91, 14, 43, 15, 42, 37, 98, 93, 59, 96, 6, 89, 27, 69, 1, 50, 76, 79, 78, 34, 29, 24, 80, 68, 77, 3, 33, 81, 90, 10, 62, 52, 101, 28, 12, 4, 56, 75, 23, 67]"
